Content,Type,Feature
Graph 4 (Travel),Graph 11 (Travel),-10
Graph 4 (Travel),Graph 12 (Travel),-10
Graph 4 (Travel),Graph 13 (Fashion and Beauty),0
Graph 4 (Travel),Graph 14 (Fashion and Beauty),0
Graph 4 (Travel),Graph 15 (Fashion and Beauty),0
Graph 4 (Travel),Graph 16 (Fashion and Beauty),0
Graph 4 (Travel),Graph 17 (Fashion and Beauty),0
Graph 4 (Travel),Graph 18 (Fashion and Beauty),0
Graph 4 (Travel),Graph 19 (Fashion and Beauty),0
Graph 4 (Travel),Graph 20 (Fashion and Beauty),0
Graph 4 (Travel),Graph 21 (Fashion and Beauty),0
Graph 4 (Travel),Graph 22 (Fashion and Beauty),0
Graph 4 (Travel),Graph 23 (Fashion and Beauty),0
Graph 4 (Travel),Graph 24 (Fashion and Beauty),0
Graph 4 (Travel),Graph 25 (Fashion and Beauty),-1
Graph 4 (Travel),Graph 26 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 27 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 28 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 29 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 30 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 31 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 32 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 33 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 34 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 35 (Diseases and Symptoms),-1
Graph 4 (Travel),Graph 36 (Diseases and Symptoms),0
Graph 4 (Travel),Graph 37 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 6 (Travel),-10
Graph 5 (Travel),Graph 7 (Travel),-10
Graph 5 (Travel),Graph 8 (Travel),-10
Graph 5 (Travel),Graph 9 (Travel),-10
Graph 5 (Travel),Graph 10 (Travel),-10
Graph 5 (Travel),Graph 11 (Travel),-250
Graph 5 (Travel),Graph 12 (Travel),-10
Graph 5 (Travel),Graph 13 (Fashion and Beauty),0
Graph 5 (Travel),Graph 14 (Fashion and Beauty),0
Graph 5 (Travel),Graph 15 (Fashion and Beauty),0
Graph 5 (Travel),Graph 16 (Fashion and Beauty),0
Graph 5 (Travel),Graph 17 (Fashion and Beauty),0
Graph 5 (Travel),Graph 18 (Fashion and Beauty),0
Graph 5 (Travel),Graph 19 (Fashion and Beauty),0
Graph 5 (Travel),Graph 20 (Fashion and Beauty),0
Graph 5 (Travel),Graph 21 (Fashion and Beauty),0
Graph 5 (Travel),Graph 22 (Fashion and Beauty),0
Graph 5 (Travel),Graph 23 (Fashion and Beauty),0
Graph 5 (Travel),Graph 24 (Fashion and Beauty),0
Graph 5 (Travel),Graph 25 (Fashion and Beauty),0
Graph 5 (Travel),Graph 26 (Diseases and Symptoms),-1
Graph 5 (Travel),Graph 27 (Diseases and Symptoms),-1
Graph 5 (Travel),Graph 28 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 29 (Diseases and Symptoms),-1
Graph 5 (Travel),Graph 30 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 31 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 32 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 33 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 34 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 35 (Diseases and Symptoms),-1
Graph 5 (Travel),Graph 36 (Diseases and Symptoms),0
Graph 5 (Travel),Graph 37 (Diseases and Symptoms),-1
Graph 6 (Travel),Graph 7 (Travel),-10
Graph 6 (Travel),Graph 8 (Travel),-10
Graph 6 (Travel),Graph 9 (Travel),-10
Graph 6 (Travel),Graph 10 (Travel),-10
Graph 6 (Travel),Graph 11 (Travel),-10
Graph 6 (Travel),Graph 12 (Travel),-273
Graph 6 (Travel),Graph 13 (Fashion and Beauty),0
Graph 6 (Travel),Graph 14 (Fashion and Beauty),0
Graph 6 (Travel),Graph 15 (Fashion and Beauty),0
Graph 6 (Travel),Graph 16 (Fashion and Beauty),0
Graph 6 (Travel),Graph 17 (Fashion and Beauty),0
Graph 6 (Travel),Graph 18 (Fashion and Beauty),0
